",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"165,6420,1,0,0,474.0,90,0,0,6.99"
"166,6510,1,0,0,569.0,178,74,74,9.99"
"167,6550,1,0,0,1462.0,1052,90,90,15.99"
"168,6800,1,0,0,1561.0,213,63,70,3.99"
"169,6810,1,0,0,404.0,71,12,14,3.99"
"170,6830,1,0,0,1333.0,238,201,302,3.99"
"171,6840,1,0,0,421.0,265,14,20,3.99"
"172,6850,1,16,0,1514.0,260,63,58,8.29"
"173,6860,1,18,0,5864.0,391,435,365,9.29"
"174,6870,1,0,0,316.0,113,0,0,4.99"
"175,6880,1,16,0,1732.0,846,20,25,4.99"
"176,6900,1,18,0,1186.0,450,62,43,7.19"
"177,6910,1,16,0,6242.0,347,324,245,4.99"
"178,6920,1,16,0,649.0,433,24,31,4.99"
"179,6980,1,0,0,1135.0,210,254,368,6.99"
"180,7000,1,16,0,1656.0,243,714,725,4.99"
"181,7010,1,0,0,175.0,61,0,0,3.99"
"182,7020,1,0,0,248.0,15,0,0,6.99"
"183,7110,1,0,0,809.0,279,0,0,8.99"
"184,7200,1,0,0,963.0,55,4774,4774,25.99"
"185,7210,1,0,0,236.0,90,14,14,6.99"
"186,7220,1,0,0,86.0,65,0,0,6.99"
"187,7260,1,0,0,69.0,54,0,0,6.99"
"188,7340,1,0,0,8.0,4,0,0,6.99"
"189,7510,1,0,0,1566.0,981,313,341,6.99"
"190,7520,1,0,61,3054.0,2051,327,403,14.99"
"191,7530,1,0,0,153.0,194,320,330,6.99"
"192,7600,1,0,0,1114.0,570,165,253,5.99"
"193,7610,1,0,0,355.0,153,46,46,5.99"
"194,7620,1,0,0,420.0,82,1244,1261,2.99"
"195,7650,1,0,0,385.0,32,66,82,2.99"
"196,7660,1,0,0,417.0,53,18,18,2.99"
"197,7730,1,0,0,57.0,54,0,0,2.99"
"198,7760,1,0,0,2165.0,136,2235,2224,2.99"
"199,7770,1,0,0,146.0,138,0,0,2.99"
"200,7830,1,0,0,1664.0,257,0,0,3.99"
"201,7840,1,0,0,34.0,50,0,0,1.99"
